"OBJECTID","ACRES","STATE","FIRE_NAME","YEAR","STARTMONTH","STARTDAY","FIRE_TYPE","LATITUDE","LONGITUDE"
1,8479,"AK","KUYUKUTUK",1984,7,3,"Wildfire",62.013,-161.628
2,37083,"AK","WAPOO FIRE",1984,6,9,"Wildfire",63.757,-157.537
3,1399,"AK","414060",1984,6,23,"Wildfire",63.795,-155.029
4,10243,"AK","MUD FIRE",1984,6,6,"Wildfire",63.93,-157.527
5,1897,"AK","GLACIER CREEK",1984,6,7,"Wildfire",64.482,-144.673
6,2756,"AK","TAL SW 37",1984,6,23,"Wildfire",64.589,-152.757
7,1689,"AK","414057",1984,7,2,"Wildfire",64.957,-162.693
8,3169,"AK","414008",1984,6,11,"Wildfire",65.354,-154.572
9,3156,"AK","HSL S 10",1984,7,3,"Wildfire",65.528,-156.433
10,1258,"AK","TAL NE 36",1984,6,19,"Wildfire",65.627,-150.902
11,1964,"AK","414012",1984,6,18,"Wildfire",66.217,-152.356
12,1990,"AK","HUS NW 30",1984,6,17,"Wildfire",66.409,-155.202
13,1487,"AK","DCK SSW 35",1984,6,24,"Wildfire",66.453,-157.324
14,6723,"AK","IAN N 55",1984,6,25,"Wildfire",67.933,-160.878
15,1775,"AK","WTK NE 50",1984,6,25,"Wildfire",68.071,-160.654
16,5358,"AZ","CHANDLER",1984,9,26,"Wildfire",33.169,-111.952
17,1171,"AZ","PRINCE",1984,5,30,"Wildfire",33.174,-112.11
18,1060,"AZ","DRAGONFIRE",1984,8,7,"Wildfire",33.175,-112.033
19,1839,"AZ","BLACK",1984,5,29,"Wildfire",33.914,-111.583
20,1260,"AZ","SANDERSON",1984,6,14,"Wildfire",35.366,-111.932
21,3021,"CA","PROCTOR",1984,4,21,"Wildfire",32.682,-116.886
22,3073,"CA","BOWLES",1984,9,6,"Wildfire",32.945,-116.935
23,5564,"CA","AGUANGA",1984,5,30,"Wildfire",33.413,-116.873
24,1384,"CA","LOMA RIDGE",1984,6,15,"Wildfire",33.75,-117.729
25,4130,"CA","LOST HORSE",1984,5,31,"Wildfire",34.023,-116.255
26,2442,"CA","LYTLE",1984,5,28,"Wildfire",34.285,-117.554
27,10917,"CA","GRIMES FIRE",1984,5,7,"Wildfire",34.331,-118.964
28,6049,"CA","SQUAW FLAT",1984,10,15,"Wildfire",34.443,-118.896
29,1035,"CA","SCUDDER BURN",1984,6,22,"Prescribed Fire",34.449,-118.48
30,1479,"CA","MESCAL",1984,7,6,"Wildfire",34.452,-117.726
31,3554,"CA","SHANNON FIRE",1984,5,29,"Wildfire",34.552,-118.183
32,2458,"CA","STODDARD 2",1984,5,12,"Wildfire",34.701,-117.075
33,3159,"CA","MINUTEMAN",1984,5,7,"Wildfire",34.807,-120.501
34,1539,"CA","UNNAMED",1984,6,30,"Unknown",34.856,-118.586
35,1977,"CA","BLUE",1984,8,10,"Wildfire",34.905,-119.286
36,1777,"CA","SHELL PEAK",1984,5,28,"Prescribed Fire",35.097,-120.154
37,2053,"CA","UNNAMED",1984,6,21,"Unknown",35.141,-120.204
38,1622,"CA","BONNHEIM",1984,6,29,"Wildfire",35.197,-120.394
39,1910,"CA","UNNAMED",1984,6,21,"Unknown",35.253,-119.486
40,1585,"CA","MORETZZ",1984,5,29,"Wildfire",35.253,-120.547
41,6009,"CA","TWISSELMAN",1984,8,19,"Wildfire",35.396,-119.833
42,1059,"CA","UNNAMED",1984,6,21,"Unknown",35.499,-118.886
